355,Вермут Cinzano Bianco белый,,,18.00,155
356,Вермут Cinzano Rose розовый,,,14.50,141
357,Вермут Martini,,,17.00,145
358,Вермут Martini Bianco белый,,,17.00,145
359,Вермут Martini Extra Dry сухой,,,2.50,110
360,Вермут Martini Rose розовый,,,16.00,140
361,Вермут Martini Rosso красный,,,15.00,138
362,Вермут Perlino Bianco белый,,,14.00,139
363,Вермут Perlino Rosso красный,,,14.00,139
364,Ветчина,14.00,24.00,,270
365,Ветчина DAK Датская,18.00,4.00,1.00,112
366,Ветчина в форме,22.60,20.90,,278
367,Ветчина Венеция из мяса индеек,13.20,5.40,2.60,112
368,Ветчина из индейки обезжиренная,15.00,1.00,2.00,77
369,Ветчина Империя Вкуса из индейки,11.00,3.00,7.00,99
370,Ветчина Останкино нежная из индейки,10.00,10.00,5.00,154
371,Ветчина Останкино нежная из свиного окорока,8.00,13.00,3.00,166
372,Ветчина Пармская,24.40,22.50,0.10,300
373,Вешенки маринованные Steinhauer,1.00,1.50,,23
374,Вешенки свежие,2.50,0.30,6.50,38
375,Вигна,3.00,0.40,18.80,90
376,Визига,1.20,0.10,6.00,28
377,Винегрет овощной готовый,1.80,3.70,8.80,75
378,Винегрет особый готовый,6.30,18.80,15.90,218
379,Винный камень,,,,
380,Вино Asti Mondoro белое полусладкое игристое,,,9.00,78
381,Вино Riunite D'Oro белое полусладкое игристое,,,6.00,69
382,Вино Riunite Lambrusco Emilia красное полусладкое игристое,,,6.00,69
383,Вино Riunite Lambrusco Rose розовое полусладкое игристое,,,6.00,69
384,Вино белое десертное 16%,0.50,,16.00,153
385,Вино белое Мускат,,,5.00,82
386,Вино белое Рислинг,,,4.00,80
387,Вино белое Совиньон,,,2.00,81
388,Вино белое столовое 11%,0.20,,0.20,65
389,Вино белое сухое,0.10,,0.60,66
390,Вино белое Херес,,,3.00,126
391,Вино красное Божоле Нуво,2.50,,,95
392,Вино красное Бургундское,,,4.00,86
393,Вино красное десертное,0.50,,20.00,172
394,Вино красное Кагор,,,16.00,147
395,Вино красное Киндзмараули,0.50,,20.00,172
396,Вино красное Кьянти,0.10,,2.70,84
397,Вино красное столовое 12%,0.30,,0.20,71
398,Вино красное сухое,0.20,,0.30,68
399,Вино красное Хванчкара,0.10,,3.00,83
400,Вино медовое,,,21.30,71
401,Виноград,0.60,0.20,16.80,65
402,Виноградный компот,0.50,,19.70,77
403,Виноградный сок,0.30,,14.00,54
404,Виски,,,0.20,230
405,Вишня,0.80,0.50,11.30,52
406,Вишня 4 сезона без косточки,0.80,0.20,10.70,50
407,Вишня Hortex без косточки,0.90,0.40,9.90,49
408,Вишня вяленая,1.50,,73.00,290
409,Вишня замороженная,0.90,0.40,11.00,46
410,Вишня консервированная,0.80,0.20,10.60,45
411,Вишня сушеная,1.50,,73.00,290
412,Вишнёвый компот,0.30,0.20,24.00,99
413,Вишнёвый нектар,0.10,,12.00,50
414,Вишнёвый сок,0.70,,10.20,47
415,Вобла вяленая,46.40,5.50,,235
416,Вобла копчёная,31.10,6.30,,181
417,Вобла свежая,18.00,2.80,,97
418,Вода,,,,
419,Вода минеральная,,,,
420,Вода содовая,,,,
421,Водка,,,0.10,235
422,Водка анисовая,0.10,0.10,0.50,225
423,Водоросли бурые,1.70,0.60,8.30,43
424,Водоросли зелёные,1.50,,5.00,25
425,Водоросли красные,1.50,,5.00,25
426,Водоросль вакаме,3.00,0.60,8.60,45
427,Водоросль далс,1.50,,5.00,25
428,Водоросль ирландский мох (карраген),1.50,0.20,11.00,49
429,Водоросль кантен,0.50,,6.30,26
430,Водоросль комбу,8.30,8.30,10.00,77
431,Водоросль лиму,1.70,0.20,4.30,25
432,Водоросль нори,46.10,0.10,41.00,349
433,Водоросль порфира,5.80,0.30,4.80,35
434,Водоросль спирулина,4.20,2.50,9.90,79
435,Водоросль ульва,1.90,,3.80,25
